figure_path,purpose,quality_assessment,action,reason,replacement_or_companion
outputs/eda/figures/cross_campaign_peak_rust.png,Legacy peak-rust campaign comparison.,strong and presentation-ready,keep,Still useful as a quick campaign contrast figure.,outputs/diagnostics/figures/temporal/campaign_surface_progression_median_iqr.png
outputs/eda/figures/missingness.png,Legacy missingness overview.,strong and presentation-ready,keep,Clear and directly useful.,outputs/diagnostics/figures/features/full_feature_missingness_heatmap.png
outputs/eda/figures/row_counts.png,Legacy count summary.,weak/redundant,discard,The table already communicates this cleanly; not strong presentation material.,
outputs/eda/figures/structural_target_sparsity.png,Legacy structural-label sparsity figure.,strong and presentation-ready,keep,Still one of the clearest summary figures in the project.,
outputs/eda/figures/surface_rust_by_campaign.png,Legacy surface-rust campaign summary.,useful but needs improvement,revise,The new temporal campaign plot communicates progression more clearly than a static summary.,outputs/diagnostics/figures/temporal/campaign_surface_progression_median_iqr.png
outputs/eda/figures/target_distributions.png,Legacy target-distribution summary.,useful but needs improvement,revise,"Helpful, but new diagnostics add separate outlier and percentile views.",outputs/diagnostics/figures/distributions/target_histograms_full_range.png
outputs/eda/figures/treatment_counts.png,Legacy treatment counts.,weak/redundant,discard,Counts are better handled in tables and the new stage-overview diagnostics.,
outputs/eda/figures/week_distribution.png,Legacy week distribution.,weak/redundant,discard,"Helpful for audit, but not strong enough for a main explanation figure.",outputs/diagnostics/figures/temporal/surface_progression_scatter_trends.png
outputs/eda/figures/within_specimen_surface_total_rust.png,Legacy specimen-level surface trajectory overview.,useful but needs improvement,revise,Dense single-panel spaghetti view is hard to present cleanly.,outputs/diagnostics/figures/temporal/campaign_faceted_specimen_spaghetti.png
outputs/improvements/baseline_snapshot/models/degradation/degradation_subset_trajectories.png,Existing figure not promoted during this diagnostics pass.,useful but needs improvement,revise,Not selected as one of the strongest communication figures; keep only as appendix until reviewed more deeply.,
outputs/improvements/baseline_snapshot/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_feature_importance.png,Existing figure not promoted during this diagnostics pass.,useful but needs improvement,revise,Not selected as one of the strongest communication figures; keep only as appendix until reviewed more deeply.,
outputs/improvements/baseline_snapshot/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_feature_importance.png,Existing figure not promoted during this diagnostics pass.,useful but needs improvement,revise,Not selected as one of the strongest communication figures; keep only as appendix until reviewed more deeply.,
outputs/improvements/baseline_snapshot/models/proxy_rul/proxy_rul_right_censored.png,Existing figure not promoted during this diagnostics pass.,useful but needs improvement,revise,Not selected as one of the strongest communication figures; keep only as appendix until reviewed more deeply.,
outputs/models/degradation/degradation_subset_trajectories.png,Legacy degradation subset figure.,useful but needs improvement,revise,A subset alone is not enough; grouped summaries and observed-vs-fitted views are clearer.,outputs/diagnostics/figures/degradation/degradation_observed_vs_fitted_scatter.png
outputs/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_feature_importance.png,Ultimate-load feature importance.,useful but needs improvement,revise,"The ranking is readable, but it needs the new residual and robustness context to avoid overclaiming.",outputs/diagnostics/figures/benchmarks/predictions/hidden_damage/ultimate_load_kn/ultimate_load_kn_group_shuffle_prediction_diagnostics.png
outputs/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_feature_importance.png,Hidden-damage feature importance.,useful but needs improvement,keep,Keep as appendix only; pair it with stability and weakness diagnostics.,outputs/diagnostics/figures/benchmarks/hidden_damage_best_model_strategy_robustness.png
outputs/models/proxy_rul/proxy_rul_right_censored.png,Legacy proxy censoring plot.,useful but needs improvement,revise,Status counts are more informative than censoring alone.,outputs/diagnostics/figures/proxy/proxy_threshold_status_counts.png
outputs/models/surface/peak_rust_pct/group_shuffle/peak_rust_pct_feature_importance.png,Peak-rust surface feature importance.,useful but needs improvement,revise,Keep only with the new ranked companion and strategy-robustness plots.,outputs/diagnostics/figures/benchmarks/feature_importance/surface/peak_rust_pct/peak_rust_pct_group_shuffle_feature_importance_ranked.png
outputs/models/surface/surface_total_rust_pct/group_shuffle/surface_total_rust_pct_feature_importance.png,Surface benchmark feature importance.,misleading,discard,"The target is a label-reconstruction sanity check, so this plot can be overread as model discovery.",outputs/diagnostics/figures/features/feature_target_correlation_heatmap.png
