file_path,file_type,stage_of_pipeline,brief_description,status
outputs/models/hidden_damage/ultimate_load_kn/leave_one_campaign_out/ultimate_load_kn_predictions.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/leave_one_campaign_out/ultimate_load_kn_summary.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/ultimate_load_kn/leave_one_treatment_out/ultimate_load_kn_best_model.json,json,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/leave_one_treatment_out/ultimate_load_kn_feature_importance.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/leave_one_treatment_out/ultimate_load_kn_fold_metrics.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/ultimate_load_kn/leave_one_treatment_out/ultimate_load_kn_predictions.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/leave_one_treatment_out/ultimate_load_kn_summary.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_best_model.json,json,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_feature_importance.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_feature_importance.png,png,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_fold_metrics.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_predictions.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/group_shuffle/wire_area_loss_frac_summary.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_campaign_out/wire_area_loss_frac_best_model.json,json,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_campaign_out/wire_area_loss_frac_feature_importance.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_campaign_out/wire_area_loss_frac_fold_metrics.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_campaign_out/wire_area_loss_frac_predictions.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_campaign_out/wire_area_loss_frac_summary.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_treatment_out/wire_area_loss_frac_best_model.json,json,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_treatment_out/wire_area_loss_frac_feature_importance.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_treatment_out/wire_area_loss_frac_fold_metrics.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_treatment_out/wire_area_loss_frac_predictions.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/wire_area_loss_frac/leave_one_treatment_out/wire_area_loss_frac_summary.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/logs/run_audit_validation.log,log,log,Audit and validation run log.,useful
outputs/logs/run_eda.log,log,log,EDA run log.,useful
outputs/logs/run_extract_image_features.log,log,log,Image feature extraction log.,useful
outputs/logs/run_full_baseline.log,log,log,Full end-to-end pipeline log.,useful
outputs/logs/train_degradation_models.log,log,log,Degradation modeling run log.,useful
outputs/logs/train_hidden_damage_models.log,log,log,Hidden damage modeling run log.,useful
outputs/logs/train_rul_proxy_models.log,log,log,Proxy-RUL generation run log.,useful
outputs/logs/train_surface_models.log,log,log,Surface modeling run log.,useful
outputs/models/proxy_rul/proxy_rul_estimates.csv,csv,proxy_rul,Threshold-crossing proxy-RUL estimates by specimen and threshold.,suspicious
outputs/models/proxy_rul/proxy_rul_right_censored.png,png,proxy_rul,Figure summarizing proxy-RUL right censoring.,suspicious
outputs/models/proxy_rul/proxy_rul_summary.csv,csv,proxy_rul,Proxy-RUL threshold summary table.,suspicious
outputs/models/proxy_rul/proxy_rul_summary.json,json,proxy_rul,JSON summary of proxy-RUL threshold counts.,suspicious
PROJECT_CONSTRAINTS.md,md,report,Canonical verified project constraints and dataset facts.,useful
README.md,md,report,Reproduction instructions for running the pipeline.,review needed
SCIENTIFIC_REPORT.md,md,report,Generated scientific summary of the baseline pipeline.,suspicious
outputs/splits/master_group_shuffle.csv,csv,split_manifest,Master dataset grouped split membership manifest.,useful
outputs/splits/master_group_shuffle_summary.csv,csv,split_manifest,Master dataset grouped split summary.,useful
outputs/splits/master_leave_one_campaign_out.csv,csv,split_manifest,Master dataset leave-one-campaign-out split manifest.,useful
outputs/splits/master_leave_one_campaign_out_summary.csv,csv,split_manifest,Master dataset leave-one-campaign-out split summary.,useful
outputs/splits/master_leave_one_treatment_out.csv,csv,split_manifest,Master dataset leave-one-treatment-out split manifest.,useful
outputs/splits/master_leave_one_treatment_out_summary.csv,csv,split_manifest,Master dataset leave-one-treatment-out split summary.,useful
outputs/models/surface/best_models.csv,csv,surface_model,Selected best model names for the stage.,suspicious
outputs/models/surface/peak_rust_pct/group_shuffle/peak_rust_pct_best_model.json,json,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/group_shuffle/peak_rust_pct_feature_importance.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/peak_rust_pct/group_shuffle/peak_rust_pct_feature_importance.png,png,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/peak_rust_pct/group_shuffle/peak_rust_pct_fold_metrics.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/group_shuffle/peak_rust_pct_predictions.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/group_shuffle/peak_rust_pct_summary.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/peak_rust_pct/leave_one_campaign_out/peak_rust_pct_best_model.json,json,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/leave_one_campaign_out/peak_rust_pct_feature_importance.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/peak_rust_pct/leave_one_campaign_out/peak_rust_pct_fold_metrics.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/leave_one_campaign_out/peak_rust_pct_predictions.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/leave_one_campaign_out/peak_rust_pct_summary.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/peak_rust_pct/leave_one_treatment_out/peak_rust_pct_best_model.json,json,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/leave_one_treatment_out/peak_rust_pct_feature_importance.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/peak_rust_pct/leave_one_treatment_out/peak_rust_pct_fold_metrics.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/leave_one_treatment_out/peak_rust_pct_predictions.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/peak_rust_pct/leave_one_treatment_out/peak_rust_pct_summary.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/splits/group_shuffle.csv,csv,surface_model,Stage-specific grouped split membership manifest.,useful
outputs/models/surface/splits/group_shuffle_summary.csv,csv,surface_model,Stage-specific grouped split summary.,useful
outputs/models/surface/splits/leave_one_campaign_out.csv,csv,surface_model,Stage-specific leave-one-campaign-out split manifest.,useful
outputs/models/surface/splits/leave_one_campaign_out_summary.csv,csv,surface_model,Stage-specific leave-one-campaign-out split summary.,useful
outputs/models/surface/splits/leave_one_treatment_out.csv,csv,surface_model,Stage-specific leave-one-treatment-out split manifest.,useful
outputs/models/surface/splits/leave_one_treatment_out_summary.csv,csv,surface_model,Stage-specific leave-one-treatment-out split summary.,useful
outputs/models/surface/surface_feature_table.csv,csv,surface_model,Surface-model input table saved before code-side feature selection.,review needed
outputs/models/surface/surface_total_rust_pct/group_shuffle/surface_total_rust_pct_best_model.json,json,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/group_shuffle/surface_total_rust_pct_feature_importance.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/surface_total_rust_pct/group_shuffle/surface_total_rust_pct_feature_importance.png,png,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/surface_total_rust_pct/group_shuffle/surface_total_rust_pct_fold_metrics.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/group_shuffle/surface_total_rust_pct_predictions.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/group_shuffle/surface_total_rust_pct_summary.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/surface_total_rust_pct/leave_one_campaign_out/surface_total_rust_pct_best_model.json,json,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/leave_one_campaign_out/surface_total_rust_pct_feature_importance.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/surface_total_rust_pct/leave_one_campaign_out/surface_total_rust_pct_fold_metrics.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/leave_one_campaign_out/surface_total_rust_pct_predictions.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/leave_one_campaign_out/surface_total_rust_pct_summary.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/surface_total_rust_pct/leave_one_treatment_out/surface_total_rust_pct_best_model.json,json,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/leave_one_treatment_out/surface_total_rust_pct_feature_importance.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/models/surface/surface_total_rust_pct/leave_one_treatment_out/surface_total_rust_pct_fold_metrics.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/leave_one_treatment_out/surface_total_rust_pct_predictions.csv,csv,surface_model,Generated pipeline artifact.,review needed
outputs/models/surface/surface_total_rust_pct/leave_one_treatment_out/surface_total_rust_pct_summary.csv,csv,surface_model,Generated pipeline artifact.,suspicious
outputs/data/full_feature_table.csv,csv,validated_data,Merged master table plus image features.,review needed
outputs/data/master_table.csv,csv,validated_data,Validated aligned master dataset at observation level.,useful
outputs/data/terminal_structural_table.csv,csv,validated_data,"Terminal structural-label subset, one row per specimen.",useful
