record_id,n_steel_mesh,treatment_code,ageing_days,nacl_pct,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_failure_surface_mm,wire_area_loss_raw,ultimate_load_kn,specimen_id,capture_date,week,series_family,series_label,record_id_valid,image_path,image_filename,image_join_status,treatment_name,campaign_id,capture_year,wire_area_loss_pct,has_structural_labels,sequence_order,duplicate_record_id,duplicate_specimen_week,image_exists
S1MI01-20220822-13W,7,NO,201,0.035,0.449,1,2.407,2,2.51,3.74,,,S1MI01,2022-08-22,13,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220822-13W.png,S1MI01-20220822-13W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,10,False,False,True
S1MI01-20220906-15W,7,NO,201,0.035,1.023,2,5.386,3,2.51,3.74,,,S1MI01,2022-09-06,15,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20220906-15W.png,S1MI01-20220906-15W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,11,False,False,True
S1MI01-20221102-24W,7,NO,201,0.035,4.059,4,12.433,4,1.51,3.74,,,S1MI01,2022-11-02,24,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20221102-24W.png,S1MI01-20221102-24W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,12,False,False,True
S1MI01-20221110-25W,7,NO,201,0.035,3.077,4,10.738,4,2.51,3.74,,,S1MI01,2022-11-10,25,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20221110-25W.png,S1MI01-20221110-25W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,,False,13,False,False,True
S1MI01-20221206-28W,7,NO,201,0.035,5.111,5,14.561,4,3.01,3.74,0.2125,2.38,S1MI01,2022-12-06,28,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI01-20221206-28W.png,S1MI01-20221206-28W.png,both,No treatment,campaign_2022_mesh7_nacl0.035_age201,2022,21.25,True,14,False,False,True
S1MI02-20220518-0W,7,MI,201,0.035,0.342,1,0.828,1,6.0,3.54,,,S1MI02,2022-05-18,0,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220518-0W.png,S1MI02-20220518-0W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,0,False,False,True
S1MI02-20220603-2W,7,MI,201,0.035,0.188,1,0.611,1,12.5,3.54,,,S1MI02,2022-06-03,2,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220603-2W.png,S1MI02-20220603-2W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,1,False,False,True
S1MI02-20220609-3W,7,MI,201,0.035,0.209,1,0.643,1,2.01,3.54,,,S1MI02,2022-06-09,3,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220609-3W.png,S1MI02-20220609-3W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,2,False,False,True
S1MI02-20220616-4W,7,MI,201,0.035,0.209,1,0.643,1,2.01,3.54,,,S1MI02,2022-06-16,4,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220616-4W.png,S1MI02-20220616-4W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,3,False,False,True
S1MI02-20220623-5W,7,MI,201,0.035,0.264,1,0.793,1,2.01,3.54,,,S1MI02,2022-06-23,5,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220623-5W.png,S1MI02-20220623-5W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,4,False,False,True
S1MI02-20220630-6W,7,MI,201,0.035,0.399,1,1.205,2,2.01,3.54,,,S1MI02,2022-06-30,6,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220630-6W.png,S1MI02-20220630-6W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,5,False,False,True
S1MI02-20220708-7W,7,MI,201,0.035,0.307,1,0.728,1,2.01,3.54,,,S1MI02,2022-07-08,7,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220708-7W.png,S1MI02-20220708-7W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,6,False,False,True
S1MI02-20220714-8W,7,MI,201,0.035,0.302,1,0.999,1,2.01,3.54,,,S1MI02,2022-07-14,8,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220714-8W.png,S1MI02-20220714-8W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,7,False,False,True
S1MI02-20220721-9W,7,MI,201,0.035,0.183,1,0.67,1,2.01,3.54,,,S1MI02,2022-07-21,9,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220721-9W.png,S1MI02-20220721-9W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,8,False,False,True
S1MI02-20220802-10W,7,MI,201,0.035,0.247,1,0.829,1,2.01,3.54,,,S1MI02,2022-08-02,10,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220802-10W.png,S1MI02-20220802-10W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,9,False,False,True
S1MI02-20220822-13W,7,MI,201,0.035,0.141,1,0.585,1,2.01,3.54,,,S1MI02,2022-08-22,13,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220822-13W.png,S1MI02-20220822-13W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,10,False,False,True
S1MI02-20220906-15W,7,MI,201,0.035,0.478,1,1.099,2,0.51,3.54,,,S1MI02,2022-09-06,15,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20220906-15W.png,S1MI02-20220906-15W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,11,False,False,True
S1MI02-20221102-24W,7,MI,201,0.035,9.584,5,22.467,5,8.5,3.54,,,S1MI02,2022-11-02,24,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20221102-24W.png,S1MI02-20221102-24W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,12,False,False,True
S1MI02-20221110-25W,7,MI,201,0.035,4.58,4,18.844,4,8.5,3.54,,,S1MI02,2022-11-10,25,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20221110-25W.png,S1MI02-20221110-25W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,13,False,False,True
S1MI02-20221206-28W,7,MI,201,0.035,8.318,5,21.973,5,8.5,3.54,0.1878,2.43,S1MI02,2022-12-06,28,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI02-20221206-28W.png,S1MI02-20221206-28W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,18.78,True,14,False,False,True
S1MI03-20220518-0W,7,MI,201,0.035,0.356,1,0.894,1,7.5,3.8,,,S1MI03,2022-05-18,0,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220518-0W.png,S1MI03-20220518-0W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,0,False,False,True
S1MI03-20220603-2W,7,MI,201,0.035,0.758,1,2.832,2,8.0,3.8,,,S1MI03,2022-06-03,2,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220603-2W.png,S1MI03-20220603-2W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,1,False,False,True
S1MI03-20220609-3W,7,MI,201,0.035,0.463,1,1.794,2,8.5,3.8,,,S1MI03,2022-06-09,3,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220609-3W.png,S1MI03-20220609-3W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,2,False,False,True
S1MI03-20220616-4W,7,MI,201,0.035,0.303,1,1.57,2,8.0,3.8,,,S1MI03,2022-06-16,4,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220616-4W.png,S1MI03-20220616-4W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,3,False,False,True
S1MI03-20220623-5W,7,MI,201,0.035,0.471,1,1.699,2,8.0,3.8,,,S1MI03,2022-06-23,5,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220623-5W.png,S1MI03-20220623-5W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,4,False,False,True
S1MI03-20220630-6W,7,MI,201,0.035,0.686,1,3.143,2,8.0,3.8,,,S1MI03,2022-06-30,6,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220630-6W.png,S1MI03-20220630-6W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,5,False,False,True
S1MI03-20220708-7W,7,MI,201,0.035,0.282,1,1.923,2,8.0,3.8,,,S1MI03,2022-07-08,7,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220708-7W.png,S1MI03-20220708-7W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,6,False,False,True
S1MI03-20220714-8W,7,MI,201,0.035,0.344,1,1.034,2,2.01,3.8,,,S1MI03,2022-07-14,8,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220714-8W.png,S1MI03-20220714-8W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,7,False,False,True
S1MI03-20220721-9W,7,MI,201,0.035,0.528,1,2.772,2,7.5,3.8,,,S1MI03,2022-07-21,9,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220721-9W.png,S1MI03-20220721-9W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,8,False,False,True
S1MI03-20220802-10W,7,MI,201,0.035,0.783,1,3.939,2,8.0,3.8,,,S1MI03,2022-08-02,10,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220802-10W.png,S1MI03-20220802-10W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,9,False,False,True
S1MI03-20220822-13W,7,MI,201,0.035,0.371,1,2.52,2,7.5,3.8,,,S1MI03,2022-08-22,13,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220822-13W.png,S1MI03-20220822-13W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,10,False,False,True
S1MI03-20220906-15W,7,MI,201,0.035,1.399,2,5.567,3,7.5,3.8,,,S1MI03,2022-09-06,15,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20220906-15W.png,S1MI03-20220906-15W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,11,False,False,True
S1MI03-20221102-24W,7,MI,201,0.035,8.146,5,24.327,5,0.51,3.8,,,S1MI03,2022-11-02,24,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20221102-24W.png,S1MI03-20221102-24W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,12,False,False,True
S1MI03-20221110-25W,7,MI,201,0.035,8.899,5,24.065,5,0.51,3.8,,,S1MI03,2022-11-10,25,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20221110-25W.png,S1MI03-20221110-25W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,13,False,False,True
S1MI03-20221206-28W,7,MI,201,0.035,12.772,5,28.272,5,7.5,3.8,0.166,2.54,S1MI03,2022-12-06,28,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI03-20221206-28W.png,S1MI03-20221206-28W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,16.6,True,14,False,False,True
S1MI04-20220518-0W,7,MI,201,0.035,0.296,1,0.84,1,17.99,1.63,,,S1MI04,2022-05-18,0,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220518-0W.png,S1MI04-20220518-0W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,0,False,False,True
S1MI04-20220603-2W,7,MI,201,0.035,0.636,1,2.383,2,17.99,1.63,,,S1MI04,2022-06-03,2,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220603-2W.png,S1MI04-20220603-2W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,1,False,False,True
S1MI04-20220609-3W,7,MI,201,0.035,0.629,1,2.098,2,18.49,1.63,,,S1MI04,2022-06-09,3,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220609-3W.png,S1MI04-20220609-3W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,2,False,False,True
S1MI04-20220616-4W,7,MI,201,0.035,0.396,1,2.087,2,17.99,1.63,,,S1MI04,2022-06-16,4,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220616-4W.png,S1MI04-20220616-4W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,3,False,False,True
S1MI04-20220623-5W,7,MI,201,0.035,0.854,1,2.864,2,17.99,1.63,,,S1MI04,2022-06-23,5,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220623-5W.png,S1MI04-20220623-5W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,4,False,False,True
S1MI04-20220630-6W,7,MI,201,0.035,0.994,1,3.465,2,17.99,1.63,,,S1MI04,2022-06-30,6,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220630-6W.png,S1MI04-20220630-6W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,5,False,False,True
S1MI04-20220708-7W,7,MI,201,0.035,0.954,1,3.095,2,17.99,1.63,,,S1MI04,2022-07-08,7,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220708-7W.png,S1MI04-20220708-7W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,6,False,False,True
S1MI04-20220714-8W,7,MI,201,0.035,1.231,2,4.146,2,18.49,1.63,,,S1MI04,2022-07-14,8,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220714-8W.png,S1MI04-20220714-8W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,7,False,False,True
S1MI04-20220721-9W,7,MI,201,0.035,1.234,2,4.119,2,18.49,1.63,,,S1MI04,2022-07-21,9,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220721-9W.png,S1MI04-20220721-9W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,8,False,False,True
S1MI04-20220802-10W,7,MI,201,0.035,2.278,3,9.61,3,20.99,1.63,,,S1MI04,2022-08-02,10,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220802-10W.png,S1MI04-20220802-10W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,9,False,False,True
S1MI04-20220822-13W,7,MI,201,0.035,1.17,2,5.302,3,20.99,1.63,,,S1MI04,2022-08-22,13,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220822-13W.png,S1MI04-20220822-13W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,10,False,False,True
S1MI04-20220906-15W,7,MI,201,0.035,4.25,4,17.344,4,20.99,1.63,,,S1MI04,2022-09-06,15,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20220906-15W.png,S1MI04-20220906-15W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,11,False,False,True
S1MI04-20221102-24W,7,MI,201,0.035,24.223,5,44.542,5,18.49,1.63,,,S1MI04,2022-11-02,24,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20221102-24W.png,S1MI04-20221102-24W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,12,False,False,True
S1MI04-20221110-25W,7,MI,201,0.035,16.735,5,31.343,5,8.5,1.63,,,S1MI04,2022-11-10,25,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20221110-25W.png,S1MI04-20221110-25W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,13,False,False,True
S1MI04-20221206-28W,7,MI,201,0.035,32.041,5,54.235,5,8.0,1.63,0.2399,2.38,S1MI04,2022-12-06,28,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI04-20221206-28W.png,S1MI04-20221206-28W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,23.990000000000002,True,14,False,False,True
S1MI05-20220518-0W,7,MI,201,0.035,0.241,1,1.125,2,11.5,3.71,,,S1MI05,2022-05-18,0,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220518-0W.png,S1MI05-20220518-0W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,0,False,False,True
S1MI05-20220603-2W,7,MI,201,0.035,0.529,1,1.548,2,23.48,3.71,,,S1MI05,2022-06-03,2,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220603-2W.png,S1MI05-20220603-2W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,1,False,False,True
S1MI05-20220609-3W,7,MI,201,0.035,0.415,1,2.888,2,23.48,3.71,,,S1MI05,2022-06-09,3,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220609-3W.png,S1MI05-20220609-3W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,2,False,False,True
S1MI05-20220616-4W,7,MI,201,0.035,0.415,1,3.67,2,23.48,3.71,,,S1MI05,2022-06-16,4,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220616-4W.png,S1MI05-20220616-4W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,3,False,False,True
S1MI05-20220623-5W,7,MI,201,0.035,0.833,1,8.129,3,23.48,3.71,,,S1MI05,2022-06-23,5,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220623-5W.png,S1MI05-20220623-5W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,4,False,False,True
S1MI05-20220630-6W,7,MI,201,0.035,0.795,1,6.215,3,23.48,3.71,,,S1MI05,2022-06-30,6,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220630-6W.png,S1MI05-20220630-6W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,5,False,False,True
S1MI05-20220708-7W,7,MI,201,0.035,0.365,1,2.906,2,23.48,3.71,,,S1MI05,2022-07-08,7,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220708-7W.png,S1MI05-20220708-7W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,6,False,False,True
S1MI05-20220714-8W,7,MI,201,0.035,0.695,1,3.859,2,23.48,3.71,,,S1MI05,2022-07-14,8,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220714-8W.png,S1MI05-20220714-8W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,7,False,False,True
S1MI05-20220721-9W,7,MI,201,0.035,0.716,1,6.529,3,14.49,3.71,,,S1MI05,2022-07-21,9,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220721-9W.png,S1MI05-20220721-9W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,8,False,False,True
S1MI05-20220802-10W,7,MI,201,0.035,1.155,2,7.703,3,14.49,3.71,,,S1MI05,2022-08-02,10,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220802-10W.png,S1MI05-20220802-10W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,9,False,False,True
S1MI05-20220822-13W,7,MI,201,0.035,1.067,2,8.352,3,14.49,3.71,,,S1MI05,2022-08-22,13,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220822-13W.png,S1MI05-20220822-13W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,10,False,False,True
S1MI05-20220906-15W,7,MI,201,0.035,4.938,4,23.282,5,14.99,3.71,,,S1MI05,2022-09-06,15,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20220906-15W.png,S1MI05-20220906-15W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,11,False,False,True
S1MI05-20221102-24W,7,MI,201,0.035,27.656,5,62.08,5,23.48,3.71,,,S1MI05,2022-11-02,24,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20221102-24W.png,S1MI05-20221102-24W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,12,False,False,True
S1MI05-20221110-25W,7,MI,201,0.035,18.451,5,45.971,5,23.48,3.71,,,S1MI05,2022-11-10,25,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20221110-25W.png,S1MI05-20221110-25W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,,False,13,False,False,True
S1MI05-20221206-28W,7,MI,201,0.035,34.269,5,71.764,5,14.49,3.71,0.4152,2.35,S1MI05,2022-12-06,28,S,S1,True,/Users/parastoo/All_projects/Proj_corrosion/Data/Images_dataset/S1MI05-20221206-28W.png,S1MI05-20221206-28W.png,both,Mixed-in inhibitor,campaign_2022_mesh7_nacl0.035_age201,2022,41.52,True,14,False,False,True
